date,year,venue,venue_eng,event,event_eng,country,genre,genre_eng,artform,artform_eng,performers,performers_eng,conductor,conductor_eng,crew,crew_eng
10/6/1979,1979,Finlandia-talo,Finlandia House,Lasten Juhlaviikot | Lapsisolistien konsertti - Radion sinfoniaorkesteri,Children's Party Weeks | Children's soloist concert - Radio Symphony Orchestra,FIN,"musiikki, lapset","music, children",klassinen,classic,,,"Ilkka Kuusisto, johtaja","Ilkka Kuusisto, director",,
10/7/1979,1979,Koiton juhlasali,Koito ballroom,Lasten Juhlaviikot | Konsertti Kieusta ja Kaiusta ja paljon muustakin,Children's Party Weeks | A concert about Kieu and Kaiu and much more,FIN,"musiikki, lapset","music, children",,,"M.A. Numminen, Jussi Raittinen, H. Pedro Hietanen, Karviaiset","M.A. Numminen, Jussi Raittinen, H. Pedro Hietanen, Karviainen",,,,
10/8/1979,1979,Sibelius-akatemia,Sibelius Academy,Lasten Juhlaviikot | Leningradin konservatorion musiikkikoulun ilta PERUUNTUNUT?,Children's Party Weeks | Leningrad Conservatory Music School Evening CANCELED?,RUS,"musiikki, lapset","music, children",klassinen,classic,,,,,,
10/8/1979,1979,Jugendsali,Jugendsal,Lasten Juhlaviikot | Taidekaupunki,Children's Party Weeks | Art city,,"kuvataide, lapset","visual arts, children",,,,,,,,
10/9/1979,1979,Sibelius-akatemia,Sibelius Academy,Lasten Juhlaviikot | Sibelius-Akatemian nuoriso-osaston ilta,Children's Party Weeks | Evening of the Sibelius Academy's youth department,FIN,"musiikki, lapset","music, children",klassinen,classic,,,,,,
10/11/1979,1979,Savoy,Savoy,Lasten Juhlaviikot | elokuvaesityksiä,Children's Party Weeks | film screenings,,"elokuva, lapset","movie, kids",,,,,,,,
10/13/1979,1979,Kulttuuritalo,Culture House,Lasten Juhlaviikot | Pjotr Tsaikovski: Pähkinänsärkijä,Children's Party Weeks | Pyotr Tchaikovsky: The Nutcracker,FIN,"tanssi, lapset","dance, children",baletti,ballet,Margaretha von Bahrin ja Airi Säilän balettikoulut & Tanssikeskus ry,Margaretha von Bahr's and Airi Säilä's ballet schools & Tanssikeskus ry,,,,
10/14/1979,1979,Koiton juhlasali,Koito ballroom,Lasten Juhlaviikot | Anni Manninen: Matka Luontoäidin luokse - Penniteatteri,Children's Party Weeks | Anni Manninen: Journey to Mother Nature - Penniteatteri,FIN,"teatteri, lapset","theater, children",,,musiikki Pekka Jalkanen,music by Pekka Jalkanen,,,"Katariina Lahti, ohjaus
Leila Poroila, käsikirjoitus","Katariina Lahti, direction
Leila Poroila, script"
10/14/1979,1979,Koiton juhlasali,Koito ballroom,Lasten Juhlaviikot | Olena ja Vassuska eli Elävät kanteleet,"Children's Party Weeks | Olena and Vassuska, or Living Chants",FIN,"nukketeatteri, lapset","puppet show, children",,,musiikki Heikki Valpola,music by Heikki Valpola,,,"Turo Unha, ohjaus
Jouni Lompolo, käsikirjoitus","Turo Unha, direction
Jouni Lompolo, script"
10/15/1979,1979,Suomen kansallisteatteri,Finnish National Theater,Lasten Juhlaviikot | Scapino-baletti,Children's Party Weeks | Scapino Ballet,NLD,"tanssi, lapset","dance, children",baletti,ballet,,,,,,
10/16/1979,1979,Sibelius-akatemia,Sibelius Academy,Lasten Juhlaviikot | Oulunkylän yhteiskoulun kuoro ja orkesteri,Children's Party Weeks | Choir and orchestra of Oulunkylä community school,FIN,"musiikki, lapset","music, children",klassinen,classic,,,,,,
10/17/1979,1979,Kulttuuritalo,Culture House,Lasten Juhlaviikot | Romeo ja Julia - Suomen Kansallisoopperan baletti,Children's Party Weeks | Romeo and Juliet - Finnish National Opera's ballet,FIN,"tanssi, lapset","dance, children",baletti,ballet,,,,,,
10/19/1979,1979,Suomen kansallisteatteri,Finnish National Theater,Lasten Juhlaviikot | Grips Teatteri - Max ja Milli,Children's Party Weeks | Grips Theater - Max and Milli,GER,"teatteri, lapset","theater, children",,,,,,,,
10/20/1979,1979,Finlandia-talo,Finlandia House,Lasten Juhlaviikot | Helsingin kaupunginorkesteri - Musiikillisia sarjakuvia,Children's Party Weeks | Helsinki City Orchestra - Musical cartoons,FIN,"musiikki, lapset","music, children",klassinen,classic,Suomen teatterikoulun 4. vuosikurssin oppilaita ja lapsilaulajia,Students and child singers of the 4th year course of the Finnish Theater School,"Jorma Panula, johtaja ","Jorma Panula, director ","Ilkka Bäckman, ohjaus
Anna Kontek, lavastus","Ilkka Bäckman, direction
Anna Kontek, set design"
11/11/1979,1979,Meilahden kartano,Meilahti manor,Lasten Juhlaviikot | Kirjailijoiden lapsuudentyöt,Children's Party Weeks | Childhood works of writers,FIN,"kirjallisuus, lapset","literature, children",,,,,,,,
4/2/1980,1980,Lilla Teatern,Lilla Teatern,"""4 litres 12""","""4 litres 12""",FRA,teatteri,theater,,,Teatteripäivien (31.3.-3.4.) produktio,Theater Days (31.3.-3.4.) production,,,,
6/12/1980,1980,Finlandia-talo,Finlandia House,Helsinki-päivän konsertti: Helsingin kaupunginorkesteri,Helsinki Day Concert: Helsinki City Orchestra,FIN,musiikki,music,klassinen,classic,sopraano Jolanda Hernández,soprano Jolanda Hernández,"Hannu Bister, johtaja","Hannu Bister, director",,
6/16/1980,1980,Temppeliaukion kirkko,Temple square church,Kesäkonsertit | Helsingin kamariorkesteri,Summer concerts | Helsinki Chamber Orchestra,FIN ,musiikki,music,klassinen,classic,,,"Rudolf Baumgartner, johtaja ","Rudolf Baumgartner, director ",,
6/17/1980,1980,Ritarihuone,Knight's room,Kesäkonsertit | Pascal Devoyon PERUUNTUNUT?,Summer concerts | Pascal Devoyon CANCELED?,FRA,musiikki,music,klassinen,classic,piano Pascal Devoyon,piano by Pascal Devoyon,,,,
6/26/1980,1980,Ritarihuone,Knight's room,Kesäkonsertit | St. Louis Madrigal Singers PERUUNTUNUT?,Summer concerts | St. Louis Madrigal Singers CANCELED?,USA,musiikki,music,klassinen,classic,,,"Joseph Beck, johtaja ","Joseph Beck, Director ",,
6/29/1980,1980,Temppeliaukion kirkko,Temple square church,Kesäkonsertit | Kodály-kuoro,Kesäkonsertit | Kodály-kuoro,HUN,musiikki,music,klassinen,classic,,,"György Gulyas, johtaja ","György Gulyas, director ",,
6/30/1980,1980,Poli,Police,Kesäklubi,Summer club,ESP,musiikki,music,"jazz, pop, rock, blues","jazz, pop, rock, blues","Tuomari Nurmio ja viides kolonna, Vaavi, Los Angeles Rhytm and Blues Caravan, bluegrass-ilta, Se, Jam session, Delta 5, The Slits, Heikki Sarmannon yhtye & Jeannine Otis, Gyllene Tider, Olavi Hämy ja Planets, Nono Söderberg Group, Kryptons-kvartetti, Ad Lib -kvartetti, Make Lievosen yhtye, Paco Pena, Jukka Linkolan oktetti","Tuomari Nurmio and Viides Kolonna, Vaavi, Los Angeles Rhythm and Blues Caravan, bluegrass evening, Se, Jam session, Delta 5, The Slits, Heikki Sarmanno's band & Jeannine Otis, Gyllene Tider, Olavi Hämy and Planets, Nono Söderberg Group, Kryptons -quartet, Ad Lib quartet, Make Lievonen's band, Paco Pena, Jukka Linkola's octet",,,,
7/3/1980,1980,Ritarihuone,Knight's room,"Kesäkonsertit | Eija Järvelä, Sauli Tiilikainen, Ilmo Ranta","Summer concerts | Eija Järvelä, Sauli Tiilikainen, Ilmo Ranta",FIN,musiikki,music,klassinen,classic,"sopraano Eija Järvelä
baritoni Sauli Tiilikainen
piano Ilmo Ranta","soprano Eija Järvelä
baritone Sauli Tiilikainen
piano Ilmo Ranta",,,,
7/6/1980,1980,Kaivopuisto,Kaivopuisto,"Puistokonsertit | Pori Big Band, Trevor Richards New Orleans Trio, Los Angeles Rhythm and Blues Caravan","Puistokonsertit | Pori Big Band, Trevor Richards New Orleans Trio, Los Angeles Rhythm and Blues Caravan",FIN,musiikki,music,"jazz, blues","jazz, blues",,,,,,
7/8/1980,1980,Temppeliaukion kirkko,Temple square church,Kesäkonsertit | Christian Blackshaw,Kesäkonsertit | Christian Blackshaw,GBR,musiikki,music,klassinen,classic,piano Christian Blackshaw,piano Christian Blackshaw,,,,
7/10/1980,1980,Temppeliaukion kirkko,Temple square church,Kesäkonsertit | Abdel-Rahman El-Bacha,Kesäkonsertit | Abdel-Rahman El-Bacha,LBN,musiikki,music,klassinen,classic,piano Abdel-Rahman El-Bacha,piano Abdel-Rahman El-Bacha,,,,
7/17/1980,1980,Temppeliaukion kirkko,Temple square church,Kesäkonsertit | David Golub,Summer concert | David Golub,USA,musiikki,music,klassinen,classic,piano David Golub,piano David Golub,,,,
7/20/1980,1980,Kaivopuisto,Kaivopuisto,"Puistokonsertit | Bluesounds, Delta 5, The Slits","Park concerts | Bluesounds, Delta 5, The Slits",FIN,musiikki,music,"rock, punk","rock, punk",,,,,,
7/22/1980,1980,Ritarihuone,Knight's room,Kesäkonsertit | Byungki Hwang & Hye-Rhan Ahn,Kesäkonsertit | Byungki Hwang & Hye-Rhan Ahn,KOR,musiikki,music,klassinen,classic,"kayakum Byungki Hwan
jang-goo Hye-Rhan Ahn","kayakum Byungki Hwan
jang-goo Hye-Rhan Ahn",,,,
7/24/1980,1980,Ritarihuone,Knight's room,Kesäkonsertit | Pyry Mikkola & Juhani Lagerspetz,Summer concerts | Pyry Mikkola & Juhani Lagerspetz,FIN,musiikki,music,klassinen,classic,"viulu Pyry Mikkola
piano Juhani Lagerspetz","violin Pyry Mikkola
piano Juhani Lagerspetz",,,,
7/27/1980,1980,Kaivopuisto,Kaivopuisto,"Puistokonsertit | Hassisen kone, Tuomari Nurmio ja Viides Kolonna, Gyllene Tider","Park concerts | Hassinen's machine, Tuomari Nurmio and Viides Kolonna, Gyllene Tider",FIN,musiikki,music,"rock, pop","rock, pop",,,,,,
7/29/1980,1980,Temppeliaukion kirkko,Temple square church,Kesäkonsertit | Arto Satukangas,Summer concerts | Arto Satukangas,FIN,musiikki,music,klassinen,classic,piano Arto Satukangas,piano Arto Satukangas,,,,
8/3/1980,1980,Kaivopuisto,Kaivopuisto,"Puistokonsertit | Taurus, Sahti, Wasama-kvartetti, Jukka Tolonen Band","Park concerts | Taurus, Sahti, Wasama Quartet, Jukka Tolonen Band",FIN,musiikki,music,rock,rock,,,,,,
8/5/1980,1980,Temppeliaukion kirkko,Temple square church,Kesäkonsertit | Kirsti Huttunen,Summer concerts | Kirsti Huttunen,FIN,musiikki,music,klassinen,classic,piano Kirsti Huttunen,piano Kirsti Huttunen,,,,
8/7/1980,1980,Temppeliaukion kirkko,Temple square church,Kesäkonsertit | Suk Chamber Orchestra,Summer concerts | Suk Chamber Orchestra,CZE,musiikki,music,klassinen,classic,,,"Hynek Farkac, johtaja ","Hynek Farkac, director ",,
8/12/1980,1980,Ritarihuone,Knight's room,Kesäkonsertit | Götz Bernau & Ralf Gothoni,Kesäkonsertit | Götz Bernau & Ralf Gothoni,GER,musiikki,music,klassinen,classic,"viulu Götz Bernau
piano Ralf Gothoni","violin Götz Bernau
piano Ralf Gothoni",,,,
8/13/1980,1980,Ritarihuone,Knight's room,Kesäkonsertit | Trio Mexico,Summer concerts | Trio Mexico,MEX,musiikki,music,klassinen,classic,"viulu Manuel Suárez
sello Leopoldo Tellez
piano Jorge Suárez","violin Manuel Suárez
cello Leopoldo Tellez
piano Jorge Suárez",,,,
8/14/1980,1980,Temppeliaukion kirkko,Temple square church,Kesäkonsertit | Marburger Bachchor,Kesäkonsertit | Marburg Bach Choir,GER,musiikki,music,klassinen,classic,,,"Wolfram Wehnert, johtaja ","Wolfram Wehnert, Director ",,
8/21/1980,1980,Taideteollisuusmuseo,Art Industry Museum,Pukuja parrasvaloissa,Suits in the limelight,,kuvataide,visual arts,,,,,,,,
8/21/1980,1980,Ateneumin taidemuseo,Ateneum Art Museum,Ranskalaista impressionismia - maalauksia ja grafiikkaa,French impressionism - paintings and graphics,FRA,kuvataide,visual arts,,,,,,,,
8/21/1980,1980,Helsingin kaupungin taidemuseo,Helsinki City Art Museum,Saksalaisen ekspressionismin grafiikkaa,Graphics of German Expressionism,GER,kuvataide,visual arts,,,,,,,,
8/22/1980,1980,Jugendsali,Jugendsal,Amerikkalaisia arkkitehtien piirustuksia,American architect's drawings,USA,arkkitehtuuri,architecture,,,,,,,,
8/22/1980,1980,Helsingin tuomiokirkon krypta,The crypt of Helsinki Cathedral,Ars Vitrea - Lasimaalauksia Pohjoismaista,Ars Vitrea - Stained glass from the Nordic countries,,kuvataide,visual arts,,,,,,,,
8/22/1980,1980,Helsingin Taidehalli,Helsinki Art Gallery,Raimo Utriainen,Raimo Utriainen,FIN,kuvataide,visual arts,,,,,,,,
8/23/1980,1980,Kluuvin Galleria,Kluuvin Gallery,Seitsemän suomalaista valokuvaajaa,Seven Finnish photographers,FIN,kuvataide,visual arts,valokuva,photo,"valokuvaajat Stefan Bremer, Ilmari Kostiainen, Kaj G. Lindholm, Hannu Lindroos, Pentti Sammallahti, Kari Soveri, Pirkko Tanttu","photographers Stefan Bremer, Ilmari Kostiainen, Kaj G. Lindholm, Hannu Lindroos, Pentti Sammallahti, Kari Soveri, Pirkko Tanttu",,,,
8/26/1980,1980,Finlandia-talo,Finlandia House,Radion sinfoniaorkesteri & Krakovan filharmoninen kuoro,Radio Symphony Orchestra & Krakow Philharmonic Choir,FIN,musiikki,music,klassinen,classic,"solistit Stefania Woytowicz, Krystyna Szczepanska, Kazimierz Pustelka, Bernard Ladysz","soloists Stefania Woytowicz, Krystyna Szczepanska, Kazimierz Pustelka, Bernard Ladysz","Jerzy Katlewicz, johtaja ","Jerzy Katlewicz, manager ",,
8/26/1980,1980,Esplanadin puisto,Esplanade Park,Taidekäsityötapahtuma,Arts and crafts event,,kuvataide,visual arts,käsityö,handicraft,,,,,,
8/27/1980,1980,Finlandia-talo,Finlandia House,"Maratonkonsertti - ""Kaukoitä - Suomi""","Marathon concert - ""Far East - Finland""",FIN,musiikki,music,klassinen,classic,"solistit mm. Yoshiko Arai, Izumi Tateno, Hye-Rhan Ahn
Helsingin kaupunginorkesteri
Kiinan perinteisten soittimien orkesteri","soloists e.g. Yoshiko Arai, Izumi Tateno, Hye-Rhan Ahn
Helsinki City Orchestra
Orchestra of Chinese Traditional Instruments","Akeo Watanabe, johtaja ","Akeo Watanabe, Director ",,
8/27/1980,1980,Helsingin kaupungintalo,Helsinki City Hall,Rut Bryk,Rut Bryk,FIN,kuvataide,visual arts,,,,,,,,
8/27/1980,1980,Vanha ylioppilastalo & Sibelius-Akatemia,Old student hall & Sibelius Academy,Willem Breuker Kollektief,Willem Breuker Collective,NLD,musiikki,music,jazz,jazz,,,,,,
8/28/1980,1980,Helsingin keskusvankila,Helsinki Central Prison,Heikki Sarmanto & Maija Hapuoja,Heikki Sarmanto & Maija Hapuoja,FIN,musiikki,music,jazz,jazz,,,,,,
8/28/1980,1980,Sibelius-akatemia,Sibelius Academy,Moskova-trio,Moskova-trio,RUS,musiikki,music,klassinen,classic,"viulu Alexandr Bondurianski
sello Vladimir Ivanov
piano Mihail Utkin","violin Alexandr Bondurianski
cello Vladimir Ivanov
piano Mihail Utkin",,,,
8/28/1980,1980,Vanha ylioppilastalo,The old student house,Otto Donner Treatment,Otto Donner Treatment,FIN,musiikki,music,jazz,jazz,,,,,,
8/29/1980,1980,Uusi Orion,New Orion,Don Giovanni - oopperafilmi (kutsuvierasnäytös),Don Giovanni - opera film (invited guest screening),FRA,elokuva,movie,,,,,,,,
8/29/1980,1980,Studio 2,Studio 2,Elokuvasarja jazzin historiasta,Film series about the history of jazz,,elokuva,movie,,,,,,,,
8/29/1980,1980,Finlandia-talo,Finlandia House,Helsingin kaupunginorkesteri,Helsinki City Orchestra,FIN,musiikki,music,klassinen,classic,viulu Henryk Szeryng,violin Henryk Szeryng,"Jussi Jalas, johtaja ","Jussi Jalas, director ",,
8/29/1980,1980,Helsingin tuomiokirkko,Helsinki Cathedral,PERUUNTUNUT: Bukarestin madrigaalikuoro,CANCELED: Bucharest Madrigal Choir,ROU,musiikki,music,klassinen,classic,,,,,,
8/29/1980,1980,Vanha ylioppilastalo,The old student house,Teatro Antonin Artaud: Romeo & Juliet 80,Antonin Artaud Theatre: Romeo & Juliet 80,FRA,nukketeatteri,puppet show,,,,,,,,
8/30/1980,1980,Vanha kirkko,The old church,Aurèle Nicolet & Christiane Jaccottet,Aurèle Nicolet & Christiane Jaccottet,CHE,musiikki,music,klassinen,classic,"huilu Aurèle Nicolet
cembalo Christiane Jaccottet","flute Aurèle Nicolet
harpsichord Christiane Jaccottet",,,,
8/30/1980,1980,Sibelius-akatemia,Sibelius Academy,Vilnan kamariorkesteri,Vilnius Chamber Orchestra,LTU,musiikki,music,klassinen,classic,"solistit Moskova-trio (30.8.)
huilu Aurèle Nicolet (31.8.)","soloists Moscow Trio (30.8.)
flute Aurèle Nicolet (31.8.)","Saulius Sondeckis, johtaja ","Saulius Sondeckis, director ",,
8/31/1980,1980,Temppeliaukion kirkko,Temple square church,Hortus Musicus,The Garden Musician,EST,musiikki,music,klassinen,classic,,,"Andres Mustonen, johtaja","Andres Mustonen, director",,
8/31/1980,1980,Esplanadikappeli,Esplanade Chapel,Jukka Linkolan kvartetti & Eija Ahvo,Jukka Linkola's quartet & Eija Ahvo,FIN,musiikki,music,jazz,jazz,,,,,,
8/31/1980,1980,Vanha ylioppilastalo,The old student house,Kaukoitä suomalaisessa runoudessa,Far East in Finnish poetry,FIN,runous,poetry,,,"lausujat Tarja-Tuulikki Tarsala, Turo Urho, Anneli Ollikainen, Tuomas Anhava, Jarno Pennanen, Eila Kivikk'aho, Veikko Polameri, Pertti Nieminen, Kai. Nieminen, Jarkko Laine, Risto Rasa","speakers Tarja-Tuulikki Tarsala, Turo Urho, Anneli Ollikainen, Tuomas Anhava, Jarno Pennanen, Eila Kivikk'aho, Veikko Polameri, Pertti Nieminen, Kai. Nieminen, Jarkko Laine, Risto Rasa",,,"Ilkka Vanne, suunnitelu ja ohjaus","Ilkka Vanne, design and direction"
8/31/1980,1980,Kulttuuritalo,Culture House,Matumbi,Matumbi,GBR,musiikki,music,reggae,reggae,,,,,,
9/1/1980,1980,Studio 2,Studio 2,Elokuvasarja: Ranskalaiset impressionistit,Film series: The French Impressionists,FRA,elokuva,movie,,,,,,,,
9/1/1980,1980,Sibelius-akatemia,Sibelius Academy,Henryk Szeryng & Ralf Gothoni,Henryk Szeryng & Ralf Gothoni,POL/MEX,musiikki,music,klassinen,classic,"viulu Henryk Szeryng
piano Ralf Gothoni","violin Henryk Szeryng
piano Ralf Gothoni",,,,
9/2/1980,1980,Finlandia-talo,Finlandia House,Radion sinfoniaorkesteri,Radio Symphony Orchestra,FIN,musiikki,music,klassinen,classic,sopraano Kiri Te Kanawa,soprano Kiri Te Kanawa,johtaja Leif Segerstam,director Leif Segerstam,,
9/3/1980,1980,Sibelius-akatemia (3.9.) & Kulttuuritalo (5.9.),Sibelius Academy (September 3) & Kulttuuritalo (September 5),Nuova compagnia di canto popolare,New folk singing company,ITA,musiikki,music,klassinen,classic,,,,,,
9/3/1980,1980,Kulttuuritalo,Culture House,Rina Schenfeld & Jorma Uotinen,Rina Schenfeld & Jorma Uotinen,ISR,tanssi,dance,,,"musiikki Igor Wakhewitch
musiikki Pirjo ja Matti Bergström","music by Igor Wakhewitch
music by Pirjo and Matti Bergström",,,"Rina Schenfeld ja Jorma Uotinen, koreografia
Ziva Lieblich, lavastus","Rina Schenfeld and Jorma Uotinen, choreography
Ziva Lieblich, set design"
9/4/1980,1980,Finlandia-talo,Finlandia House,Helsingin kaupunginorkesteri,Helsinki City Orchestra,FIN,musiikki,music,klassinen,classic,piano Emil Gilels,piano Emil Gilels,"Paavo Berglund, johtaja ","Paavo Berglund, director ",,
9/5/1980,1980,Helsingin yliopisto,University of Helsinki,Kiinan perinteisten soittimien orkesteri,Orchestra of Chinese Traditional Instruments,CHN,musiikki,music,klassinen,classic,,,,,,
9/5/1980,1980,Sibelius-akatemia,Sibelius Academy,Walton Grönroos & Ralf Gothoni,Walton Grönroos & Ralf Gothoni,FIN,musiikki,music,klassinen,classic,"baritoni Walton Grönroos
piano Ralf Gothoni","baritone Walton Grönroos
piano Ralf Gothoni",,,,
9/6/1980,1980,Vanha ylioppilastalo,The old student house,Arja Saijonmaa ystävineen,Arja Saijonmaa with friends,FIN,musiikki,music,chanson,chanson,,,,,,
9/6/1980,1980,Sibelius-akatemia,Sibelius Academy,Liisa Pohjola,Liisa Pohjola,FIN,musiikki,music,klassinen,classic,piano Liisa Pohjola,piano Liisa Pohjola,,,,
9/6/1980,1980,Finlandia-talo,Finlandia House,Suomalaiset sotilasyhtyeet 100 vuotta,Finnish military bands 100 years,FIN,musiikki,music,klassinen,classic,,,"Teuvo Laine, Martti Marttila, Esko Juuri, Jukka Vuolio ja Arvo Kuikka, johtajat ","Teuvo Laine, Martti Marttila, Esko Juuri, Jukka Vuolio and Arvo Kuikka, managers ",,
9/7/1980,1980,Esplanadikappeli,Esplanade Chapel,Duo Carita Holmström & Teppo Hauta-aho,Duo Carita Holmström & Teppo Hauta-aho,FIN,musiikki,music,jazz,jazz,,,,,,
9/7/1980,1980,Sibelius-Akatemia,Sibelius Academy,Hortus Musicus,The Garden Musician,EST,musiikki,music,klassinen,classic,,,"Andres Mustonen, johtaja","Andres Mustonen, director",,
9/7/1980,1980,Ritarihuone,Knight's room,Jane Manning & Vladimir Mikulka,Jane Manning & Vladimir Mikulka,GBR,musiikki,music,klassinen,classic,"sopraano Jane Manning
kitara Vladimir Mikulka","soprano Jane Manning
guitar Vladimir Mikulka",,,,
9/8/1980,1980,Finlandia-talo,Finlandia House,Alexis Weissenberg,Alexis Weissenberg,FRA,musiikki,music,klassinen,classic,piano Alexis Weissenberg,piano Alexis Weissenberg,,,,
9/9/1980,1980,Temppeliaukion kirkko,Temple square church,London Sinfonietta,London Sinfonietta,GBR,musiikki,music,klassinen,classic,,,"Lothar Zagrosek, johtaja ","Lothar Zagrosek, director ",,
9/10/1980,1980,Sibelius-akatemia,Sibelius Academy,Lynn Harrell & Vladimir Ashkenazy,Lynn Harrell & Vladimir Ashkenazy,USA,musiikki,music,klassinen,classic,"sello Lynn Harrell
piano Vladimir Ashkenazy","cello Lynn Harrell
piano Vladimir Ashkenazy",,,,
9/11/1980,1980,Sibelius-akatemia,Sibelius Academy,Gérard Caussé & Jean-Pierre Collard,Gérard Caussé & Jean-Pierre Collard,FRA,musiikki,music,klassinen,classic,"alttoviulu Gérard Caussé
piano Jean-Pierre Collard","viola Gérard Caussé
piano Jean-Pierre Collard",,,,
9/12/1980,1980,Helsingin yliopisto,University of Helsinki,Korean hovimuusikot ja tanssiryhmä,Korean court musicians and dance troupe,KOR,musiikki,music,klassinen,classic,,,,,,
9/12/1980,1980,Sibelius-akatemia,Sibelius Academy,Medici-kvartetti & Cristina Ortiz,Medici Quartet & Cristina Ortiz,GBR,musiikki,music,klassinen,classic,"viulu Paul Robertson, David Matthews
alttoviulu Paul Silverthorne
sello Anthony Lewis
piano Cristina Ortiz","violin Paul Robertson, David Matthews
viola Paul Silverthorne
cello Anthony Lewis
piano Cristina Ortiz",,,,
9/12/1980,1980,Finlandia-talo,Finlandia House,Orchestre National de France,National Orchestra of France,FRA,musiikki,music,klassinen,classic,13.9. piano Jean-Pierre Collard,13.9. piano Jean-Pierre Collard,"Antal Dorati, johtaja ","Antal Dorati, director ",,
9/13/1980,1980,Sibelius-akatemia,Sibelius Academy,Japanin ja kiinan runoutta,Japanese and Chinese poetry,FIN,runous,poetry,,,"Suomen Lausujainliiton jäsenet: Malla Kuuranne, Marjakaarina Koskinen, Annikki Limatius, Eijakaija Sippo, Marianne Orden-Pannila
musiikki Carita Holmström ja Teppo Hauta-aho","Members of the Finnish Association of Speakers: Malla Kuuranne, Marjakaarina Koskinen, Annikki Limatius, Eijakaija Sippo, Marianne Orden-Pannila
music by Carita Holmström and Teppo Hauta-aho",,,,
11/14/1980,1980,Kulttuuritalo,Culture House,Lasten Juhlaviikot | Mörköooppera,Children's Party Weeks | Dumb opera,FIN,"musiikki, lapset","music, children",,,,,,,,
11/15/1980,1980,Finlandia-talo,Finlandia House,Lasten Juhlaviikot | Helsingin kaupunginorkesteri,Children's Party Weeks | Helsinki City Orchestra,FIN,"musiikki, lapset","music, children",,,,,,,,
11/15/1980,1980,Kulttuuritalon teatteri,Culture house theater,Lasten Juhlaviikot | Marjatta Meritähden yhtye: Aa Aa Ankka,Children's Party Weeks | Marjatta Meritähti band: Aa Aa Ankka,FIN,"musiikki, lapset","music, children",,,,,,,,
11/16/1980,1980,Vanha ylioppilastalo,The old student house,Lasten Juhlaviikot | Eläinten karnevaali -näyttely,Children's Party Weeks | Carnival of animals exhibition,,"kuvataide, lapset","visual arts, children",,,,,,,,
11/16/1980,1980,Suomen kansallisooppera,Finnish National Opera,Lasten Juhlaviikot | Jussi pojat,Children's Party Weeks | Go boys,FIN,"tanssi, lapset","dance, children",,,Kansallisoopperan tanssijat,Dancers of the National Opera,,,,
11/16/1980,1980,lähiöt,suburbs,Lasten Juhlaviikot | lähiöohjelma,Children's Party Weeks | neighborhood program,,lapset,issue,,,,,,,,
11/18/1980,1980,Helsingin työväenopisto,Helsinki University of Labor,Lasten Juhlaviikot | Kuka lohduttaisi Nyytiä,Children's Party Weeks | Who would comfort Nyyti,FIN,"teatteri, lapset","theater, children",,,,,,,,
11/20/1980,1980,Finlandia-talo,Finlandia House,Lasten Juhlaviikot | Radion sinfoniaorkesteri,Children's Party Weeks | Radio Symphony Orchestra,FIN,"musiikki, lapset","music, children",,,,,,,,
11/22/1980,1980,Helsingin työväenopisto,Helsinki University of Labor,Lasten Juhlaviikot | Muumipeikko näyttämöllä,Children's Party Weeks | Moomin on stage,FIN,"teatteri, lapset","theater, children",,,,,,,,
1/14/1981,1981,Sibelius-akatemia,Sibelius Academy,Lasten Juhlaviikot | Peter Maxwell Davies: Kaksi musikanttia - kaksinäytöksinen lasten ooppera,Children's Party Weeks | Peter Maxwell Davies: Two musicians - a children's opera in two acts,FIN,"musiikki, lapset","music, children",ooppera,opera,Sibelius-Akatemian lapsikuoro Cantinelan oppilaat,Pupils of the Sibelius Academy children's choir Cantinela,"Esa-Pekka Salonen, Alf Nyvo, johtajat","Esa-Pekka Salonen, Alf Nyvo, directors","Ilkka Bäckman, ohjaus","Ilkka Bäckman, direction"
4/14/1981,1981,Svenska Teatern,Swedish Theatre,Theatre de la Salamandre: Britannicus,Salamander Theater: Britannicus,FRA,teatteri,theater,,,Teatteripäivien (13.-16.4.) HJV:n produktio,Theater days (April 13-16) HJV production,,,,
6/12/1981,1981,Finlandia-talo,Finlandia House,Helsingin Kesäviikot | Helsinki-päivän konsertti - Helsingin kaupunginorkesteri,Helsinki Summer Weeks | Helsinki Day Concert - Helsinki City Orchestra,FIN,musiikki,music,klassinen,classic,,,,,,
6/12/1981,1981,Helsingin Taidehalli,Helsinki Art Gallery,Kesänäyttely - vuoden taiteilijat,Summer exhibition - artists of the year,,kuvataide,visual arts,,,,,,,,
6/13/1981,1981,Sibelius-akatemia,Sibelius Academy,Air,Air,GBR,musiikki,music,jazz,jazz,Helsingin Jazztapahtuman (12.-14.6.) HJV:n produktio,HJV's production of the Helsinki Jazz Event (June 12-14).,,,,
6/16/1981,1981,Temppeliaukion kirkko,Temple square church,Helsingin Kesäviikot | Espoon kamariorkesteri,Helsinki Summer Weeks | Espoo Chamber Orchestra,FIN,musiikki,music,klassinen,classic,,,"Paavo Pohjola, johtaja ","Paavo Pohjola, director ",,
6/23/1981,1981,Temppeliaukion kirkko,Temple square church,Helsingin Kesäviikot | Viktoria Mullova,Helsinki Summer Weeks | Victoria Mullova,RUS,musiikki,music,klassinen,classic,"viulu Viktoria Mullova
piano Jelena Pashkova","violin Viktoria Mullova
piano Yelena Pashkova",,,,
